#WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
hypodermis WBbt:0005733,56.972919155714855,109,1.9131896630061722,4.038123028529621e-16,1.0458738643891717e-13
hyp7 syncytium WBbt:0005734,5.590800477897252,22,3.9350357944224807,4.327501813418511e-09,5.604114848376972e-07
ABalaapa WBbt:0006130,1.293110314615691,8,6.186633815829997,3.171522560639333e-06,0.0002738081144018624
ABalaaaa WBbt:0006427,1.483273596176822,8,5.39347563431333,1.0861950356241619e-05,0.0007033112855666449
ABprappp WBbt:0006702,1.635404221425727,8,4.891756970656276,2.532858159045274e-05,0.0013120205263854518
MSapp WBbt:0006036,1.293110314615691,7,5.413304588851247,2.9310288135954002e-05,0.0013120205263854518
Eal WBbt:0006441,1.3691756272401434,7,5.112565445026178,4.5754595866042444e-05,0.0016929200470435705
ABalaaap WBbt:0005982,1.4072082835523696,7,4.974388000566011,5.6497376378619614e-05,0.00182910256025781
ABarapaa WBbt:0006515,1.4072082835523696,7,4.974388000566011,5.6497376378619614e-05,0.00182910256025781
ABaraaaa WBbt:0006360,1.4072082835523696,7,4.974388000566011,5.6497376378619614e-05,0.00182910256025781
ABalpapa WBbt:0006573,1.521306252489048,7,4.601308900523561,0.000102023714210375,0.0024021947254988297
ABalpaaa WBbt:0006557,1.5593389088012743,7,4.489081854169327,0.00012268169157863865,0.0026478798432389506
MSapa WBbt:0005898,1.2550776583034648,6,4.7805806758686336,0.00018991996663955639,0.003783790104588085
ABprpaap WBbt:0006253,1.2550776583034648,6,4.7805806758686336,0.00018991996663955639,0.003783790104588085
hyp6 WBbt:0004679,2.167861409796894,8,3.69027280242491,0.0002547835240665733,0.003998260923079678
ABalappa WBbt:0006157,1.293110314615691,6,4.639975361872497,0.00023155951291967247,0.003998260923079678
ABaraaap WBbt:0005861,1.293110314615691,6,4.639975361872497,0.00023155951291967247,0.003998260923079678
ABplpapp WBbt:0006420,1.3311429709279172,6,4.507404637247569,0.0002802566498397507,0.004032581794916413
ABaraapa WBbt:0005853,1.3691756272401434,6,4.382198952879581,0.00033686059389973936,0.00459194178000171
ABplpppa WBbt:0006423,1.4072082835523696,6,4.263761143342295,0.0004022786779900306,0.005209508879970896
ABplappp WBbt:0006470,1.4452409398645958,6,4.151556902728024,0.0004774763497319395,0.005209508879970896
ABalpaap WBbt:0005934,1.4072082835523696,6,4.263761143342295,0.0004022786779900306,0.005209508879970896
ABaraapp WBbt:0006153,1.4072082835523696,6,4.263761143342295,0.0004022786779900306,0.005209508879970896
ABplpapa WBbt:0006087,1.4452409398645958,6,4.151556902728024,0.0004774763497319395,0.005209508879970896
ABprappa WBbt:0006269,1.4452409398645958,6,4.151556902728024,0.0004774763497319395,0.005209508879970896
Caap WBbt:0005921,1.4072082835523696,6,4.263761143342295,0.0004022786779900306,0.005209508879970896
excretory duct cell WBbt:0004540,1.4072082835523696,6,4.263761143342295,0.0004022786779900306,0.005209508879970896
