#WBPaper00013489_Ray_Enriched_WBbt_0006941_25
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
PQR WBbt:0004096,0.11150935882118677,2,17.935714285714287,0.00014914529641996295,0.011931623713597036
P11 WBbt:0004410,0.11549183592194345,2,17.317241379310346,0.0001656695098234742,0.011931623713597036
posterior lateral ganglion WBbt:0005465,0.31859816806053365,3,9.41625,0.00017940302723125587,0.011931623713597036
HSN WBbt:0006830,0.21505376344086025,2,9.299999999999999,0.0010398690485066238,0.020797380970132475
ASER WBbt:0003903,0.2608522500995619,2,7.667175572519084,0.0018201551567692442,0.029122482508307908
ASEL WBbt:0003904,0.2608522500995619,2,7.667175572519084,0.0018201551567692442,0.029122482508307908
AVM WBbt:0003832,0.1354042214257268,1,7.385294117647058,0.007579594317051051,0.04748283247718898
PVD WBbt:0006831,0.11947431302270012,1,8.37,0.005939664046702459,0.04748283247718898
ASJ WBbt:0005667,0.1632815611310235,1,6.12439024390244,0.010886585039961464,0.04748283247718898
PVQ WBbt:0006976,0.09956192751891677,1,10.044,0.004154747841754036,0.04748283247718898
spermathecal-uterine junction WBbt:0006756,0.11947431302270012,1,8.37,0.005939664046702459,0.04748283247718898
PVM WBbt:0004086,0.10951812027080844,1,9.13090909090909,0.005009854624709414,0.04748283247718898
hyp4 WBbt:0004687,0.10553564317005176,1,9.475471698113209,0.004658776433363356,0.04748283247718898
thermosensory neuron WBbt:0005838,0.10951812027080844,1,9.13090909090909,0.005009854624709414,0.04748283247718898
CAN WBbt:0006827,0.14735165272799683,1,6.786486486486486,0.00892985331421582,0.04748283247718898
ASG WBbt:0005664,0.12146555157307845,1,8.232786885245902,0.006134478902676168,0.04748283247718898
male WBbt:0007850,0.14735165272799683,1,6.786486486486486,0.00892985331421582,0.04748283247718898
ventral nerve cord WBbt:0005829,0.8920748705694942,3,3.3629464285714286,0.008486675235495338,0.04748283247718898
AWB WBbt:0005671,0.14735165272799683,1,6.786486486486486,0.00892985331421582,0.04748283247718898
dorsal nerve cord WBbt:0006750,0.5217045001991238,2,3.833587786259542,0.012813634662348163,0.04879325007903742
PHA WBbt:0007807,0.17323775388291518,1,5.772413793103448,0.012198312519759355,0.04879325007903742
PHB WBbt:0007808,0.17323775388291518,1,5.772413793103448,0.012198312519759355,0.04879325007903742
